number,name,status
1,PEP Purpose and Guidelines,"Process, Active"
2,Procedure for Adding New Modules,"Process, Active"
3,Guidelines for Handling Bug Reports,"Process, Withdrawn"
4,Deprecation of Standard Modules,"Process, Active"
5,Guidelines for Language Evolution,"Process, Superseded"
6,Bug Fix Releases,"Process, Superseded"
7,Style Guide for C Code,"Process, Active"
8,Style Guide for Python Code,"Process, Active"
9,Sample Plaintext PEP Template,"Process, Withdrawn"
10,Voting Guidelines,"Process, Active"
11,CPython platform support,"Process, Active"
12,Sample reStructuredText PEP Template,"Process, Active"
13,Python Language Governance,"Process, Active"
20,The Zen of Python,"Informational, Active"
42,Feature Requests,"Process, Withdrawn"
100,Python Unicode Integration,"Standards Track, Final"
101,Doing Python Releases 101,"Informational, Active"
102,Doing Python Micro Releases,"Informational, Superseded"
103,Collecting information about git,"Informational, Withdrawn"
160,Python 1.6 Release Schedule,"Informational, Final"
200,Python 2.0 Release Schedule,"Informational, Final"
201,Lockstep Iteration,"Standards Track, Final"
202,List Comprehensions,"Standards Track, Final"
203,Augmented Assignments,"Standards Track, Final"
204,Range Literals,"Standards Track, Rejected"
205,Weak References,"Standards Track, Final"
206,Python Advanced Library,"Informational, Withdrawn"
207,Rich Comparisons,"Standards Track, Final"
208,Reworking the Coercion Model,"Standards Track, Final"
209,Multi-dimensional Arrays,"Standards Track, Withdrawn"
210,Decoupling the Interpreter Loop,"Standards Track, Rejected"
211,Adding A New Outer Product Operator,"Standards Track, Rejected"
212,Loop Counter Iteration,"Standards Track, Rejected"
213,Attribute Access Handlers,"Standards Track, Deferred"
214,Extended Print Statement,"Standards Track, Final"
215,String Interpolation,"Standards Track, Superseded"
216,Docstring Format,"Informational, Withdrawn"
217,Display Hook for Interactive Use,"Standards Track, Final"
218,Adding a Built-In Set Object Type,"Standards Track, Final"
219,Stackless Python,"Standards Track, Deferred"
220,"Coroutines, Generators, Continuations","Informational, Rejected"
221,Import As,"Standards Track, Final"
222,Web Library Enhancements,"Standards Track, Deferred"
223,Change the Meaning of x Escapes,"Standards Track, Final"
224,Attribute Docstrings,"Standards Track, Rejected"
225,Elementwise/Objectwise Operators,"Standards Track, Rejected"
226,Python 2.1 Release Schedule,"Informational, Final"
227,Statically Nested Scopes,"Standards Track, Final"
228,Reworking Python’s Numeric Model,"Standards Track, Withdrawn"
229,Using Distutils to Build Python,"Standards Track, Final"
230,Warning Framework,"Standards Track, Final"
231,__findattr__(),"Standards Track, Rejected"
232,Function Attributes,"Standards Track, Final"
233,Python Online Help,"Standards Track, Deferred"
234,Iterators,"Standards Track, Final"
235,Import on Case-Insensitive Platforms,"Standards Track, Final"
236,Back to the __future__,"Standards Track, Final"
237,Unifying Long Integers and Integers,"Standards Track, Final"
238,Changing the Division Operator,"Standards Track, Final"
239,Adding a Rational Type to Python,"Standards Track, Rejected"
240,Adding a Rational Literal to Python,"Standards Track, Rejected"
241,Metadata for Python Software Packages,"Standards Track, Superseded"
242,Numeric Kinds,"Standards Track, Withdrawn"
243,Module Repository Upload Mechanism,"Standards Track, Withdrawn"
244,The directive statement,"Standards Track, Rejected"
245,Python Interface Syntax,"Standards Track, Rejected"
246,Object Adaptation,"Standards Track, Rejected"
247,API for Cryptographic Hash Functions,"Informational, Final"
248,Python Database API Specification v1.0,"Informational, Final"
249,Python Database API Specification v2.0,"Informational, Final"
250,Using site-packages on Windows,"Standards Track, Final"
251,Python 2.2 Release Schedule,"Informational, Final"
252,Making Types Look More Like Classes,"Standards Track, Final"
